Line,0500-0600,0600-0700,0700-0800,0800-0900,0900-1000,1000-1100,1100-1200,1200-1300,1300-1400,1400-1500,1500-1600,1600-1700,1700-1800,1800-1900,1900-2000,2000-2100,2100-2200,2200-2300,2300-0000,0000-0100
Bakerloo,0.300583289,0.644973048,0.762144322,0.951080961,0.710110137,0.430888984,0.349699057,0.333712261,0.304860268,0.293784385,0.330459606,0.485973738,0.702012449,0.697053467,0.449165076,0.294563233,0.253599374,0.320772074,0.320772074,0.320210507
Central,0.664804462,0.680091447,0.916696866,1.155276893,0.909272555,0.483987988,0.408181359,0.430026158,0.428951794,0.442764189,0.528852038,0.75870793,1.063491776,0.98938243,0.629818179,0.451867839,0.357275141,0.427831079,0.427831079,0.391722348
District,0.430417962,0.545313633,0.677975099,0.854450758,0.577720231,0.318004011,0.288612892,0.293847934,0.261998835,0.263185541,0.338910256,0.505991633,0.7165786,0.663070958,0.427478233,0.311226167,0.247823184,0.229457348,0.229457348,0.172832746
Hammersmith & City and Circle,0.082077142,0.477029915,0.59202686,0.877255962,0.667489649,0.354150641,0.270722273,0.283159722,0.316115368,0.339725644,0.393317224,0.518235652,0.909677981,0.733878041,0.382830354,0.24258418,0.195958828,0.176720458,0.176720458,0.154900945
Jubilee,0.306970116,0.513078502,0.806345564,1.151499105,0.770067009,0.405739123,0.329857294,0.351531176,0.354789904,0.371343402,0.467124871,0.641044367,0.889746091,0.905409663,0.605147054,0.445844154,0.373049452,0.368961222,0.368961222,0.319948206
Metropolitan,0.141882901,0.254622465,0.556816769,0.965185746,0.642266749,0.236469369,0.186699329,0.163547904,0.139720559,0.151517966,0.223490519,0.336981245,0.546998091,0.537097234,0.304353743,0.206787889,0.192864271,0.174375514,0.174375514,0.15458603
Northern,0.381643049,0.419084637,0.979947627,1.304145782,0.990371894,0.444504115,0.358913418,0.355608506,0.355334176,0.35937624,0.423387836,0.656953692,0.969358385,1.015104321,0.701844195,0.546239972,0.447391645,0.44584714,0.44584714,0.338602327
Piccadilly,0.297163676,0.467070824,0.635572453,0.90669234,0.676250968,0.408634046,0.394313154,0.402464023,0.411890423,0.425471801,0.511879415,0.632390209,0.830899659,0.761668133,0.501680363,0.369789769,0.376923972,0.461050999,0.461050999,0.35665392
Victoria,0.360837484,0.554394164,0.764515784,1.050120856,0.747607673,0.470304079,0.402677327,0.418139192,0.397054875,0.410858811,0.463262043,0.631531762,0.890408278,0.862736137,0.59368141,0.458617725,0.385528973,0.373705583,0.373705583,0.385855526
Waterloo & City,0,0.149477025,0.822909326,0.867703494,0.344921844,0.198143012,0.129968008,0.112664575,0.145189875,0.165076254,0.251379278,0.41929193,0.848998696,0.735918892,0.344014174,0.19764479,0.16517742,0.071359279,0.071359279,0.043781293
